最终成绩,第二次评审标准分极差,一阶段极差,专家一标准分,专家二标准分,专家三标准分,专家四标准分,专家五标准分,一阶段成绩
294.13,34.90,14.27,65.94,61.32,73.41,62.62,59.14,67.34
285.74,29.53,4.08,74.59,73.51,73.46,70.51,73.57,73.944
280.68,23.47,9.47,71.65,70.59,62.18,69.05,69.66,70.52
279.95,15.48,21.13,63.05,56.89,78.02,65.21,71.5,71.16
279.95,8.62,9.51,67.7,64.05,64.84,62.89,72.4,68.278
279.22,22.96,9.97,72.03,68.4,69.94,62.06,68.47,70.174
276.4,20.00,21.33,55.42,74.29,63.58,58.5,52.96,65.216
274.82,25.14,16.22,72.02,76.27,66.3,60.05,67.44,71.66
272.85,30.92,17.85,67.74,74.25,85.59,70.56,70.17,77.232
272.65,16.40,20.99,78.23,70.41,65.54,75.1,57.24,73.502
269.65,24.53,18.51,61.23,79.74,69.04,68.43,71.26,73.642
268.33,22.61,7.90,63.57,58.43,63.56,64.86,66.33,64.93
267.75,16.78,12.00,70.85,71.05,65.7,73.27,61.27,70.828
267.67,27.34,19.88,63.9,66.29,51.72,63.48,71.6,67.374
265.73,9.06,7.63,68.51,63.24,69.79,62.16,65.4,67.346
265.5,29.11,14.91,54.26,58.95,58.14,54.07,68.98,61.862
264.86,15.33,10.76,63.72,72.94,62.18,66.48,64.18,68.052
264.13,29.97,11.75,60.55,53.1,60,64.85,62.16,62.482
263.78,28.62,6.22,60.1,63.45,62.85,61.37,57.23,62.244
263.59,18.12,19.47,64.58,78.37,68.66,58.9,61.43,70.282
263.12,3.34,18.56,67.82,71.08,55.18,63.65,73.74,70.006
262.9,17.23,14.40,63.84,68.31,71.67,57.27,64.52,68.002
262.52,17.15,14.52,66.64,65.74,71.7,57.18,62.52,67.66
262.29,20.32,11.16,66.68,55.52,64.21,60.22,61.17,63.792
262.13,18.79,11.57,62.07,68.81,57.72,62.62,69.29,66.416
261.99,2.35,8.23,68.84,60.81,63.79,60.61,66.65,65.786
260.5,6.53,20.18,77.26,71.3,75.99,66.54,57.08,73.67
259.91,20.62,20.61,79.38,66.77,62.55,67.86,58.77,71.188
259.74,21.37,12.09,59.88,64.59,63.47,62.48,71.97,66.896
259.28,22.91,9.98,66.9,59.31,56.92,64.95,59.79,63.57
259.23,14.88,17.69,76.99,63.64,63.36,68.79,59.3,69.954
258.76,0.73,18.75,77.77,61.65,59.02,70.81,75.4,72.68
258.57,9.38,23.14,49.41,66.68,72.55,51.57,69.71,66.612
258.15,13.60,7.71,64.18,60.66,57.35,65.06,60.47,63.086
257.87,30.82,11.52,71.2,66.98,74.12,67.35,62.6,70.754
257.8,14.39,17.95,65.35,64.56,66.76,71.76,53.81,68.038
257.54,16.33,15.99,78.47,64.59,71.3,62.48,63.96,71.358
257,16.00,14.03,70.28,56.25,67.86,66.95,57.97,66.668
256.45,21.31,12.54,58.59,70.93,63.54,71.13,65.64,68.474
256.32,6.32,10.19,61.52,71.71,66.1,66.53,71.29,69.468
255.65,35.03,19.45,72.06,67.62,58.75,60.78,78.2,71.372
255.09,31.79,29.15,72.71,72.09,52.39,81.54,61.54,73.884
255.07,19.85,14.37,66.7,69.82,63.27,55.45,67.01,67.324
255.06,5.74,10.14,69.02,67.38,60.84,58.88,60.46,65.344
254.96,16.33,9.99,60.42,60.79,57.32,59.63,67.31,63.092
254.75,10.03,27.07,49.91,47.57,68.25,65.8,74.64,66.648
254.68,14.30,9.70,62.11,67.25,64.23,62.49,71.81,67.518
254.49,17.24,10.06,57.48,57.54,61.85,57.34,67.4,62.334
254.06,23.80,16.24,61.3,72.02,63.54,55.78,56.49,65.074
