第二次评审标准分极差,复议后极差,专家一标准分,专家二标准分,专家三标准分,二阶段成绩
34.90,14.64,65.94,61.32,73.41,200.67
29.53,9.61,74.59,73.51,73.46,221.56
23.47,12.65,71.65,70.59,62.18,204.42
15.48,,63.05,56.89,78.02,197.96
8.62,,67.7,64.05,64.84,196.59
22.96,10.00,72.03,68.4,69.94,210.37
20.00,10.35,55.42,74.29,63.58,193.29
25.14,6.76,72.02,76.27,66.3,214.59
30.92,17.76,67.74,74.25,85.59,227.58
16.40,,78.23,70.41,65.54,214.18
24.53,12.00,61.23,79.74,69.04,210.01
22.61,10.76,63.57,58.43,63.56,185.56
16.78,,70.85,71.05,65.7,207.6
27.34,7.34,63.9,66.29,51.72,181.91
9.06,,68.51,63.24,69.79,201.54
29.11,6.62,54.26,58.95,58.14,171.35
15.33,,63.72,72.94,62.18,198.84
29.97,12.00,60.55,53.1,60,173.65
28.62,5.82,60.1,63.45,62.85,186.4
18.12,,64.58,78.37,68.66,211.61
3.34,,67.82,71.08,55.18,194.08
17.23,,63.84,68.31,71.67,203.82
17.15,,66.64,65.74,71.7,204.08
20.32,13.65,66.68,55.52,64.21,186.41
18.79,,62.07,68.81,57.72,188.6
2.35,,68.84,60.81,63.79,193.44
6.53,,77.26,71.3,75.99,224.55
20.62,1.32,79.38,66.77,62.55,208.7
21.37,17.06,59.88,64.59,63.47,187.94
22.91,9.77,66.9,59.31,56.92,183.13
14.88,,76.99,63.64,63.36,203.99
0.73,,77.77,61.65,59.02,198.44
9.38,,49.41,66.68,72.55,188.64
13.60,,64.18,60.66,57.35,182.19
30.82,7.00,71.2,66.98,74.12,212.3
14.39,,65.35,64.56,66.76,196.67
16.33,,78.47,64.59,71.3,214.36
16.00,,70.28,56.25,67.86,194.39
21.31,14.00,58.59,70.93,63.54,193.06
6.32,,61.52,71.71,66.1,199.33
35.03,12.87,72.06,67.62,58.75,198.43
31.79,4.00,72.71,72.09,52.39,197.19
19.85,,66.7,69.82,63.27,199.79
5.74,,69.02,67.38,60.84,197.24
16.33,,60.42,60.79,57.32,178.53
10.03,,49.91,47.57,68.25,165.73
14.30,,62.11,67.25,64.23,193.59
17.24,,57.48,57.54,61.85,176.87
23.80,8.21,61.3,72.02,63.54,196.86
4.93,,68.72,61.88,63.75,194.35
1.08,,60.89,69.96,65.13,195.98
17.68,,65.96,56.15,68.45,190.56
15.18,,59.51,63.13,59.76,182.4
19.38,,52.97,74.29,55.66,182.92
8.03,,66.63,47.62,63.54,177.79
2.73,,65.8,69.73,68.69,204.22
18.83,,62.53,57.26,61.28,181.07
33.77,4.00,58.47,69.73,62.7,190.9
19.73,,56.9,68.91,63.86,189.67
7.23,,64.7,65.02,72.69,202.41
17.64,,62.07,62.56,64.4,189.03
10.20,,62.63,82.35,57.63,202.61
20.71,9.10,60.8,56.8,63.57,181.17
11.04,,73.04,61.46,75.1,209.6
21.91,5.27,62.29,68.65,57.39,188.33
17.46,,66.36,58.5,49.18,174.04
11.76,,71.5,55.52,69.86,196.88
21.81,9.29,59.33,57.67,61.55,178.55
16.73,,63.03,70.66,67.2,200.89
1.32,,70.9,65.78,63.27,199.95
31.97,14.28,63.27,59.58,68.79,191.64
12.38,,63.5,60.49,60.63,184.62
17.14,,60.36,59.58,63.07,183.01
11.04,,70.18,66.86,64.21,201.25
6.95,,52.93,61.17,74.89,188.99
29.16,14.42,61.46,65.74,60.59,187.79
20.96,17.85,52.04,69.73,43.07,164.84
37.59,0.92,64.72,76.56,65.79,207.07
11.51,,64.72,73.52,66.73,204.97
36.18,11.97,63.6,55.53,54.54,173.67
6.36,,65.32,69.97,67.38,202.67
9.35,,64.87,63.17,59.2,187.24
4.04,,62.84,58.8,63.57,185.21
11.03,,57.97,54.93,66.05,178.95
10.14,,63.4,66.56,66.43,196.39
15.69,,64.32,49.64,63.51,177.47
13.87,,62.21,69.22,75.05,206.48
5.76,,54.66,66.83,71.2,192.69
22.01,18.94,62.79,55.86,61.67,180.32
20.71,16.31,55.34,59.31,62.11,176.76
11.40,,72.23,66.53,66.79,205.55
7.03,,58.18,54.14,56.38,168.7
9.10,,69.07,69.99,55.25,194.31
20.74,11.94,64.92,62.34,63.81,191.07
22.23,17.36,62.76,64.04,61.03,187.83
11.42,,66.95,59.54,55.41,181.9
22.67,3.74,62.86,69.08,63.07,195.01
8.20,,50.67,54.64,77.36,182.67
14.14,,63.39,66.91,59.71,190.01
22.01,16.09,76.78,63.44,55.64,195.86
1.98,,58.34,69.04,59.31,186.69
16.55,,71.75,59.3,47.62,178.67
22.17,17.00,56.54,60.36,62.62,179.52
20.19,13.90,56.24,78.26,63.55,198.05
16.30,,64,74.5,61.43,199.93
15.44,,57.47,55.27,47.38,160.12
14.07,,67.07,62.84,62.94,192.85
19.86,,59.48,65.99,63.87,189.34
3.18,,62.5,64.68,61.98,189.16
14.66,,56.89,70.01,67.23,194.13
10.30,,66.71,59.08,61.9,187.69
15.38,,70.12,60,58.45,188.57
9.22,,66.93,54.59,49.23,170.75
7.56,,58.11,69.95,63.8,191.86
11.83,,68.57,63.05,62.04,193.66
14.01,,63.94,59.07,73.42,196.43
9.81,,53.58,74.5,72.1,200.18
20.17,18.71,68.57,60.69,66.14,195.4
19.73,,68.47,58.06,64.49,191.02
25.12,14.96,64.29,58.03,61.07,183.39
17.73,,63.59,61.66,68.35,193.6
5.66,,60.64,76.43,57.26,194.33
10.90,,66.8,66.86,61.99,195.65
6.70,,62.64,56.82,73.51,192.97
31.73,5.73,60.19,64.49,52.52,177.2
8.23,,60.89,52.12,58.84,171.85
3.25,,60.78,62.59,62.42,185.79
6.46,,64.76,60.02,58.14,182.92
5.21,,61.33,68.34,65.72,195.39
12.36,,66.91,61.15,65.35,193.41
11.15,,68.97,67.29,62.55,198.81
16.00,,61.75,60.46,63.16,185.37
16.52,,63.27,56.2,61.85,181.32
17.33,,66.99,66.08,50.93,184
9.40,,64,59.25,71.68,194.93
8.51,,56.95,79.89,64.4,201.24
10.61,,58.67,72.17,63.57,194.41
19.14,,66.49,64.44,69.66,200.59
12.17,,65,60.08,70.05,195.13
7.00,,65.15,64.29,70.39,199.83
11.63,,66.93,58.94,57.61,183.48
25.25,15.18,57.24,57.97,68.99,184.2
12.95,,62.53,56.3,59.12,177.95
19.90,,74.28,67.82,70.12,212.22
12.57,,63.36,54.84,65.09,183.29
4.13,,57.16,63.7,60.53,181.39
11.12,,58.64,65.22,63.89,187.75
21.36,15.54,65.87,62.32,66.76,194.95
23.41,16.63,68.6,64.69,56.83,190.12
10.70,,59.81,67.63,59.1,186.54
12.18,,70.02,60.59,63.47,194.08
16.98,,71.27,71.41,53.24,195.92
25.79,4.64,69.07,62.03,62.99,194.09
10.09,,65.34,58.49,66.7,190.53
23.88,7.97,71.5,57.58,68.6,197.68
14.77,,73.13,65.72,68.89,207.74
15.47,,66,71.47,70.25,207.72
11.61,,62.76,51.95,71.67,186.38
21.31,19.02,69.22,64.94,60.55,194.71
13.42,,65.3,59.83,62.3,187.43
28.62,10.27,62.5,63.3,46.49,172.29
6.73,,56.22,60.19,62.73,179.14
3.68,,69.66,57,63.22,189.88
9.03,,66.7,70.36,72.75,209.81
25.30,15.11,58.86,64.16,64.87,187.89
10.65,,54.86,70.75,67.91,193.52
18.81,,57.48,52.62,60.1,170.2
